Epoch,Validation Loss,Validation R2
1,5.9869,0.4812
2,6.0736,0.7536
3,6.0079,0.7547
4,6.0844,0.6663
5,5.9766,0.2991
6,5.9689,0.9312
7,5.9662,0.9158
8,5.9655,0.9123
9,5.963,0.8881
10,5.9648,0.9502
11,5.9677,0.9435
12,5.964,0.9589
13,5.9662,0.9591
14,5.9632,0.9548
15,5.9644,0.9522
16,5.9641,0.9538
17,5.9644,0.9603
18,5.9639,0.9586
19,5.9636,0.9556
20,5.9652,0.9593
21,5.9656,0.9601
22,5.9644,0.9607
23,5.9649,0.9597
24,5.9648,0.9593
25,5.9648,0.9599
26,5.9651,0.9596
27,5.9647,0.9594
28,5.9651,0.9586
29,5.965,0.9584
30,5.9648,0.9586
31,5.9648,0.9591
32,5.9648,0.9592
33,5.9647,0.9587
34,5.9649,0.9589
35,5.9649,0.9587
36,5.965,0.9592
37,5.9649,0.9591
38,5.965,0.9594
39,5.9649,0.9592
40,5.965,0.9596
41,5.965,0.9597
42,5.9652,0.9598
43,5.965,0.9602
44,5.965,0.9603
45,5.9649,0.9596
46,5.9648,0.9596
47,5.9649,0.9592
48,5.9649,0.9597
49,5.9649,0.9601
50,5.9648,0.96
